company_code,news_id,sentiment_score,sentiment_level
C,106,-0.074882,Neutral
MMM,106,0.202251,Somewhat-Bullish
MMM,107,0.060738,Neutral
AMGN,107,0.060738,Neutral
JNJ,107,0.060738,Neutral
MMM,108,-0.093652,Neutral
GE,108,-0.093652,Neutral
HON,108,-0.093652,Neutral
UNP,108,-0.093652,Neutral
CAT,108,-0.093652,Neutral
MMM,109,0.156761,Somewhat-Bullish
SOLV,110,-0.040338,Neutral
HOLX,110,0.193621,Somewhat-Bullish
PODD,110,-0.040338,Neutral
MDT,110,0.030691,Neutral
MMM,110,-0.040338,Neutral
IVZ,111,0.125961,Neutral
MMM,111,0.061120,Neutral
UBER,111,0.061120,Neutral
GE,111,0.061120,Neutral
MMM,112,0.048576,Neutral
HON,112,0.133208,Neutral
MMM,113,0.322482,Somewhat-Bullish
MMM,114,0.070514,Neutral
AMGN,114,0.070514,Neutral
JNJ,114,0.070514,Neutral
MMM,115,0.000000,Neutral
DOW,115,0.000000,Neutral
MMM,116,0.123983,Neutral
COR,117,0.104165,Neutral
AMT,117,0.061200,Neutral
MMM,117,0.023087,Neutral
AMGN,117,0.061200,Neutral
IVZ,118,0.066904,Neutral
MMM,118,0.071398,Neutral
GE,118,0.071398,Neutral
RTX,118,0.071398,Neutral
GOOG,119,0.000000,Neutral
CTAS,119,0.251687,Somewhat-Bullish
MMM,119,0.251687,Somewhat-Bullish
AVGO,120,0.067655,Neutral
IVZ,120,0.087111,Neutral
MMM,120,0.067655,Neutral
GE,120,0.067655,Neutral
TGT,121,0.255654,Somewhat-Bullish
COST,121,-0.046838,Neutral
MMM,121,0.046950,Neutral
WMT,121,-0.046838,Neutral
ABNB,122,0.050692,Neutral
MMM,122,0.063870,Neutral
FI,123,0.104299,Neutral
SBUX,123,0.061309,Neutral
V,123,0.023131,Neutral
MMM,123,0.023131,Neutral
AMGN,123,0.061309,Neutral
MMM,124,0.347715,Somewhat-Bullish
MMM,125,0.256088,Somewhat-Bullish
